inputfile,mcc,auc,balance,fmeasure,precision,pd,pf,final ratio
ant-1.3.csv,0.48932884759999995,0.7485714286,0.6817643905999999,0.5325658786999999,0.5906746033,0.6399999999999999,0.14285714300000002,0.22221394440000003
camel-1.0.csv,0.1547629777,0.6465664336,0.5782346296,0.1640731917,0.11128033829999999,0.5733333334,0.2802004662,0.1273248566
jedit-3.2.csv,0.5862257453999999,0.7809759758999999,0.7469735605000001,0.7055146373000001,0.7659077774,0.6700000001,0.10804804809999999,0.363994313
log4j-1.0.csv,0.5818935360000002,0.7670000001,0.7160515608,0.6660958662999998,0.7637655125,0.6223809523999999,0.0883809524,0.3496504966
xalan-2.4.csv,0.378581876,0.7173964352,0.6870010522,0.4801056832,0.4108458971,0.5909090908000001,0.1561162201,0.22520033950000004
EQ.csv,0.5546993362000001,0.780723077,0.7517524763,0.7458455367,0.6430919874000001,0.890676923,0.32923076909999993,0.5292456546000001
JDT.csv,0.5732961249999999,0.7984110100999999,0.7770867370000001,0.6638929616999999,0.6304390539,0.7081881533000001,0.11136613330000003,0.2578877289
ML.csv,0.4007671093,0.7119496784,0.6518358536,0.47443240510000007,0.46071937199999996,0.5220408163,0.09814145919999999,0.1805382171
PDE.csv,0.4028569108,0.6941868650999999,0.6165764284999999,0.4778426827000001,0.5083186289999999,0.4642857143,0.0759119837,0.170132408
CM1.arff,0.2763040727,0.6855336257,0.6197395875,0.3539474183,0.2599331935,0.7219444447,0.350877193,0.2866145722000001
MW1.arff,0.5386587588,0.7555555555,0.6812330415,0.5758554777,0.6251428568999999,0.5520000000000002,0.040888888899999996,0.1154287638
PC1.arff,0.40622541990000005,0.7262181817,0.6574305350999999,0.45383360899999997,0.4125741706,0.5236363635000001,0.0712,0.1032692526
PC3.arff,0.39071382820000006,0.7592864051999999,0.7464945894999999,0.4593043424,0.3422902959,0.7230769229999999,0.20450411279999997,0.1844811542
PC4.arff,0.4256376325,0.7675330477,0.7574241938,0.5040749744999999,0.3914025518,0.7205396826,0.18547358719999998,0.17629615080000002
Safe.arff,0.5388892183999999,0.7450714285,0.672940563,0.6517186145,0.796761905,0.5930000000000001,0.10285714270000001,0.44216959310000004
Zxing.arff,0.33288208080000004,0.680237142,0.6712225618000001,0.5599225566,0.4608709127,0.7202173915000001,0.3597431078,0.4147520872
ar1.csv,0.183512587,0.6600395258,0.592627929,0.2346776553,0.1576363639,0.5700000000000001,0.2499209488,0.1780859253
ar3.csv,0.7406330798,0.8472727274,0.7968779596,0.7566666669,0.8600000000000001,0.72,0.0254545453,0.1934875258
ar4.csv,0.5043673655,0.7198856209000001,0.6483451311999999,0.5604444445000001,0.7166666667000001,0.515,0.0752287585,0.23729722690000005
ar5.csv,0.6572559088,0.8413333333,0.8167184413999999,0.7266666664,0.6816666666,0.82,0.1373333333,0.3272476957
ar6.csv,0.29409356150000004,0.6917647061000001,0.6237615663,0.38849456120000003,0.2826172164,0.7866666669000001,0.4031372546,0.2940507158
